t,z0_exact,z0_trotter,z1_exact,z1_trotter
4.5600000000000005,0.22129278536870406,0.8941275653812919,0.24717807320456983,0.8991674344183096
4.6000000000000005,0.2158748838025104,0.8942511542468717,0.24080950551285382,0.8986888119786556
4.64,0.20690600013351224,0.8908022077590114,0.23095529215453894,0.8946620694566196
4.68,0.19455933416569232,0.8839114650214154,0.2177888784139169,0.8872289350516487
4.72,0.17909725978309277,0.8738009760415392,0.20157276763356333,0.8766216903048263
4.76,0.16086320758693295,0.8607771887313134,0.1826505705010861,0.8631560229543294
4.8,0.14027143917984292,0.8452218315308001,0.16143692545111815,0.8472217015821951
4.84,0.1177953394300083,0.8275808594886389,0.13840591517289796,0.829271345029034
4.88,0.09395382484657278,0.8083517811445337,0.1140775782223778,0.8098076081944375
4.92,0.06929652537927733,0.7880697240225237,0.08900314453222632,0.7893691453286413
4.96,0.04438934102755743,0.7672926269591498,0.06375063694160765,0.7685157412824086
5.0,0.0197983371338592,0.7465859671384131,0.03888876325865376,0.7478130197266514
5.04,-0.003925102127484981,0.7265074381635959,0.014972034738284817,0.7278171446889505
5.08,-0.02625918595978949,0.7075919926483073,-0.007474206198755745,0.7090599277948937
5.12,-0.0467257552618342,0.6903376488452154,-0.0279679201888281,0.6920347385672897
5.16,-0.06490235771467856,0.6751924362381585,-0.04608257450791192,0.6771835895414718
5.2,-0.08043303932927104,0.662542820570726,-0.06145806961263503,0.6648857325951685
5.24,-0.09303768006358804,0.6527039054989751,-0.07381024852020057,0.655448058817163
5.28,-0.10251820452989058,0.6459116571926383,-0.08293728090148686,0.6490975427249611
5.32,-0.10876354239646713,0.6423173412145616,-0.08872480737334368,0.6459759141505257
5.36,-0.11175159526093775,0.6419842994796345,-0.0911480995972444,0.6461366792539123
5.4,-0.11154867262508184,0.6448871307358242,-0.09027167418376347,0.649544547608143
5.44,-0.10830690888103622,0.6509132725840905,-0.08624688207302983,0.6560772568902389
5.48,-0.10225937957473397,0.6598669183350498,-0.07930719344070361,0.6655297221847627
5.5200000000000005,-0.09371239317539182,0.6714751397257002,-0.06976061519327034,0.6776203749879174
5.5600000000000005,-0.08303733167625749,0.6853960283434398,-0.05798164418827703,0.6919994993349827
5.6000000000000005,-0.0706590318910798,0.7012286160542229,-0.04439973610384343,0.7082593205734341
5.64,-0.05704413620026927,0.7185242891672946,-0.029487693795291148,0.7259455575097942
5.68,-0.042688049579506504,0.7367993736489773,-0.01374864636092435,0.7445701121065286
5.72,-0.028100878535580187,0.7555485403498207,0.002298038334495295,0.7636245434990642
5.76,-0.013793548817502832,0.774258660606631,0.01813070521751886,0.7825939554896832
5.8,-0.00026439252057830487,0.7924227341276836,0.03323891758932382,0.8009709192316645
5.84,0.012015119464861224,0.809553512892381,0.047137861854148366,0.8182690556427973
5.88,0.022612133360546294,0.8251964567440679,0.059380277567128714,0.834035915003635
5.92,0.031144205232354727,0.8389416780036544,0.06956843474982505,0.8478648137538599
5.96,0.03728950826294852,0.8504345631017878,0.07736457737544555,0.8594053199956762
6.0,0.04079410824198987,0.8593847980018956,0.08249843855080133,0.8683721187082594
